head,relation,tail
chir0,Region_Nearby,chir1
chir0,Region_Nearby,chir2
chir1,Region_Nearby,chir0
chir1,Region_Nearby,chir2
222-222@5pw-2nd-fj9,POI_RegionOf,chir154
222-223@5pw-698-j5f,POI_RegionOf,chir745
22g-222@5pw-6d6-zvf,POI_RegionOf,chir84
22n-222@5pw-69n-rkz,POI_RegionOf,chir623
zzw-222@5pw-2r9-nh5,POI_Cate1Of,55
zzy-222@5pw-6db-3kf,POI_Cate1Of,9
22d-225@5pw-5zw-hnq,POI_Cate1Of,30
224-222@5pw-6fb-b49,POI_Cate1Of,36
225-222@5pw-6qd-p9z,POI_Cate1Of,3
zzw-224@5pw-69q-8d9,POI_Cate1Of,33
22g-222@5pw-6d6-zvf,POI_BrandOf,SG_BRAND_aef2c0e56a5406b4c27006ca3767a7d7
zzy-226@5pw-5zw-6kz,POI_BrandOf,SG_BRAND_8778a9ce54b30c55
224-228@5pw-69c-7kf,POI_BrandOf,SG_BRAND_6463c903ddfe600f
227-223@5pw-69v-tsq,POI_BrandOf,SG_BRAND_b1d21ba5beb3e781
j5,Junction_RegionOf,chir663
j149,Junction_RegionOf,chir367
j271,Junction_RegionOf,chir364
j282,Junction_RegionOf,chir390
j39385,Junction_JCateOf,jc0
j39389,Junction_JCateOf,jc0
j39392,Junction_JCateOf,jc0
j39393,Junction_JCateOf,jc0
j39394,Junction_JCateOf,jc0
r34182,Road_RegionOf,chir187
r34183,Road_RegionOf,chir187
r34184,Road_RegionOf,chir188
r68308,Road_RCateOf,rt2
r68309,Road_RCateOf,rt2
r68310,Road_RCateOf,rt0
r68311,Road_RCateOf,rt0
